"timestamps","temperatures","humidities"
"2018-06-16 18:35:21.422660",28.0,43.400001525878906
"2018-06-16 18:35:26.427077",28.0,43.400001525878906
"2018-06-16 18:35:31.431728",28.0,43.400001525878906
"2018-06-16 18:35:36.816620",28.0,43.400001525878906
"2018-06-16 18:35:41.819700",28.0,43.400001525878906
"2018-06-16 18:35:46.824170",28.0,43.400001525878906
"2018-06-16 18:35:51.828735",28.0,43.5
"2018-06-16 18:35:56.733143",28.0,43.400001525878906
"2018-06-16 18:36:00.736716",28.0,43.400001525878906
"2018-06-16 18:36:03.438986",28.100000381469727,43.400001525878906
"2018-06-16 18:36:05.440408",28.0,43.400001525878906
"2018-06-16 18:36:07.442037",28.100000381469727,43.5
"2018-06-16 18:36:09.443547",28.100000381469727,43.400001525878906
